,date,title,head_titel,main_content,ID
0,Published On 19 Dec 2022,‘Pure joy’: Argentina erupts in celebration after World Cup win,"An explosion of hope and joy engulfs the nation after their team, led by Messi, won the World Cup on Sunday.",".Buenos Aires, Argentina – Football is more than a game, they say. On Sunday, that truism came alive in the heart of Buenos Aires. .It was visible on the faces of the young men and women whooping from atop traffic lights, in dancing little girls with the nation’s flags painted on their cheeks, and in elderly men fighting back tears. In the embraces between strangers. The anthems that hovered over the city. The simultaneous pulsating of a sea of people to the drums of victory. .Football is hope, and hope is contagious. .Argentina’s hard-fought World Cup win over France in Qatar has triggered an outpouring of emotions in the South American country. Joy and relief are competing with deep gratitude to the national team led by Lionel Messi who was finally able to hoist the one coveted trophy that had eluded him. It was Argentina’s first World Cup victory since 1986 when Diego Maradona led the country to glory. .“Bien, Argentina, bien,” one man said quietly to himself, as he looked around at the throngs descending on the Obelisco de Buenos Aires – the capital’s iconic landmark – to celebrate the victory. .“It really is a sensation like no other,” said Marilé Oviedo, 32. “It’s happiness. That’s what it is.” .Tens of thousands of people flowed through the arteries of the nation’s capital towards the obelisk, chanting, singing, jumping and dancing under giant flags stretched across the width of entire avenues. .Anthems reverberated off the ornate balconies of Sante Fe Avenue, paying homage to Messi and the spirit of Maradona – who passed away two years ago – who many believe was looking down upon them today. .“Soy Argentino! Es un sentimiento que no puedo parar!” they sang. “I’m Argentinian! It’s a feeling I can’t contain.” .The World Cup final was as dramatic as they come. Argentina dominated play for most of the regulation 90 minutes, until French phenom Kylian Mbappé sunk two goals within a minute to draw his side level. A thrilling period of extra time followed, in which each side managed to score a goal, leading to the excruciating penalty kicks and the brilliance of Argentina keeper Emiliano “Dibu” Martinez in stopping two shots. .Messi had said before the tournament that this would be his last World Cup, although after this victory he told an Argentinian media outlet that he wasn’t done with the national squad just yet. .The victory set off a wave of euphoria across Argentina, where people have been struggling with an economic crisis and inflation at nearly 100 percent this year. The World Cup was, for many, a necessary reprieve from an otherwise brutal 2022 that had left people disillusioned and exhausted. .Near the obelisk, people climbed on top of bus shelters, scaled the foliage of a giant BA sign, set off firecrackers and sung the de facto Argentina World Cup anthem, Muchachos, Ahora Nos Volvimos a Ilusionar (Boys, now we’re excited again) on loop. .The phrase “World Champions” was projected on the obelisk, and a giant banner in the form of a jersey was unfurled down the resplendent Teatro Colón opera house. In Messi’s hometown of Rosario, neighbours gathered around his childhood home with flags and horns. .President Alberto Fernandez said he had no words to describe the moment, except to say, on Twitter: “Always together, always united”. .The team was also congratulated by leaders around the world on Twitter. “Your joy crosses the Andes,” wrote Chilean President Gabriel Boric. “This will be remembered as one of the most thrilling football matches!”  tweeted Indian Prime Minister Narendra Modi. .The team will return to Buenos Aires on Monday, where crowds are expected to gather again to welcome their heroes – much like they did when the team won the Copa America tournament last year. .Arrangements are under way for official celebrations although local media are reporting that the team will avoid the obelisk and the presidential palace out of safety concerns because of the sheer number of people who will likely want to join in. .“We’re seeing an incredible effervescence, a display of pure joy,” said Mario Guarella, 80, who came out of his apartment on Santa Fe Avenue to get closer to the thousands of people marching to the obelisk. “It’s the culmination of all that sacrifice and effort.” .His eyes welled up with tears, talking about what it meant to his country to have won the trophy. “I’m feeling unity that I hope can serve to end the divide in our society,” he said. “The light blue and white is bringing us together, like it always has.” .María José Zeni, 43, with her toy poodle Carlitos in her arms, said she cried for almost the entire game. “We always have to suffer in order to enjoy it even more,” she said, standing on Santa Fe Avenue. “I’m happy for Messi, for the team, and for all Argentinians. We always have to struggle for things. Finally, this is some joy.” .Rodrigo Ronchetti, 40, was out with his family, marvelling at the endless stream of people hoping to get to the obelisk. He was quite certain his family wouldn’t make it there – crowds had started gathering the previous night in anticipation. .In a stroller, his daughter Amanda, not even a year old, squirmed in her Argentina jersey onesie. “Best day of her life,” he said, smiling. .Though Messi said he isn’t done playing for the national side, there is a sense among many Argentinians that the end of an era is near. .“I don’t know if we’re ever going to see someone like that again,” said Rubén Barrionuevo, 42, watching from the sidelines in Buenos Aires. He took comfort in the fact that the next generation is in the wings. .“There are lots of kids on the little neighbourhood pitches that play really well. One day, someone is going to come out of there.”",0
1,Published On 19 Dec 2022,Lionel Messi: A breakdown of his World Cup and career highlights,"After inspiring Argentina to a historic World Cup victory in Qatar, we look back at his illustrious career.",".Lionel Messi has finally won the World Cup. .The forward has delighted football fans for more than 18 years with his scintillating, elegant brand of football, picking up more than 10 La Liga titles and four Champions Leagues along the way. .Here’s a look back at the Argentinian’s performance at World Cup 2022 and his career before it. .Eight years ago, Messi came close to the World Cup, dragging his team to the final in Brazil, only to lose to Germany in extra time. .At the start of this World Cup, it looked like another trophyless campaign was on the cards when Saudi Arabia fought back from a Messi opener to beat the South Americans 2-1 in the first of many tournament upsets. .From then on, Argentina grew in confidence, with Messi emerging unsurprisingly as their key player. The veteran forward rolled back the years and was in unstoppable form with seven goals in the tournament – one less than French striker Kylian Mbappe, who won the Golden Boot award. .In the final, he was once again instrumental in his side’s triumph, scoring twice and netting a penalty in the shootout. .The 35-year-old Argentinian also tops the assists charts with three to sit alongside Harry Kane (England), Antoine Griezmann (France) and Bruno Fernandes (Portugal). .For many, the question – who is the greatest player of all time, Messi or his longtime rival and five-time Ballon D’Or winner Cristiano Ronaldo – has finally been decided. .The Portuguese superstar, who has never won the tournament, was benched for his team’s games against Switzerland and Morocco after scoring in a fifth straight World Cup. .It was an anti-climatic exit for the 37-year-old, who has almost certainly played his last World Cup football. .There were high expectations for Messi’s Paris St Germain teammate Neymar. The forward dazzled at times, scoring two goals but was also plagued by injuries at the start of the tournament and ultimately, Brazil could not do enough to beat a disciplined Croatian side and exited at the quarterfinal stage. .Kylian Mbappe, another PSG superstar, enjoyed an excellent tournament in which he finished as the leading goalscorer. The French player scored a hat-trick in the final, topping the list with eight goals. .Messi made his international debut in 2005 after winning the FIFA World Youth Championship that year. At the 2006 World Cup, he became the youngest Argentinian player to play and score. .Since then, he has joined his compatriot Diego Maradona as a footballing icon both at home and abroad. .Messi joined Barcelona’s youth academy when he was 13 and spent much of his professional career at the Catalan club. .He is Barcelona’s top scorer and has made the most appearances for the club, with 672 goals in 778 games in all competitions. .Messi won 35 trophies at Barcelona, including 10 La Liga titles, four Champions League trophies, three UEFA Super Cups, seven Copa del Rey crowns, and three FIFA Club World Cups. .In 2021, Messi moved to the French club PSG, where he scored 23 goals and recorded 29 assists in 53 appearances. He won the Ligue 1 title with the club in the 2021-22 season and the French Super Cup in July 2022.",1
2,Published On 19 Dec 2022,What is a bisht and why was Messi wearing it at the World Cup?,The emir of Qatar put a bisht on Argentina captain Messi during the World Cup closing ceremony.," .At the World Cup trophy presentation after Argentina’s win over France in the final on Sunday, Lionel Messi was offered a bisht, a traditional Arab cloak, to wear by the emir of Qatar. .Messi allowed Sheikh Tamim bin Hamad Al Thani to place the robe on his shoulders before taking the World Cup trophy from FIFA President Gianni Infantino and lifting it in front of his ecstatic teammates. .The bisht is a long cloak made out of light, often sheer, material with trimming made out of real gold that is worn over a white thobe. .Primarily worn in the Gulf, it is a garment that has been worn for centuries during special occasions. It is viewed as a sign of appreciation and respect and is typically worn by top officials such as politicians, sheikhs and other high-status individuals. .Mustafa Baig, a lecturer in Islamic studies at the University of Exeter, told the dpa news agency that the bisht is a formal robe worn by royalty, dignitaries, grooms on their wedding day, and graduates at graduation ceremonies. .“So only a select few people would actually wear the bisht,” he said. “They basically honoured him [Messi] by putting it over his shoulders. It’s like a mark of honour, and just kind of a cultural welcoming and a cultural acceptance.” .Baig said it is also representative of Qatar’s national dress – but only on important occasions. .“And this is a top occasion. I mean, there’s probably no bigger occasion, so they put it on him as a mark of honour,” he said. .Baig said he saw it as “an embrace by Messi of the local culture”, adding that it was “a pretty cool thing” for Qatar to do and “smart thinking” on their behalf. .Hassan al-Thawadi, secretary-general of Qatar’s World Cup organising committee, said: “It is a dress for an official occasion and worn for celebrations. This was a celebration of Messi. .“The World Cup had the opportunity to showcase to the world our Arab and Muslim culture. This was not about Qatar, it was a regional celebration.”",2
3,Published On 19 Dec 2022,World Cup predictions: How many games did our AI get right?,"In total, Kashef, our AI robot, had a 67 percent accuracy level, but failed to predict Argentina as the 2022 World Cup winners.",".World Cup 2022 produced incredible football. .At the start of the tournament, Al Jazeera introduced Kashef, our artificial intelligence (AI) robot, to crunch the numbers and predict the results of each game. .After every day of action, Kashef downloaded the day’s data and compared it with more than 200 metrics, including the number of wins, goals scored and FIFA rankings, from matches played over the past century, totalling more than 100,000 records, to see who was most likely to win the following day. .The group stages from November 20 to December 2 were not very kind to Kashef, who erred on the side of caution and failed to foresee any of the many major upsets. .The good news for us sentient beings is that every time Kashef got it wrong, we were treated to a feast of World Cup magic, including Saudi Arabia’s stunning 2-1 victory over Argentina, Morocco’s 2-0 defeat of Belgium and Tunisia’s 1-0 win over 2018 champions France. .At the start of the tournament, Kashef predicted that five-time winners Brazil would beat Argentina in the semifinal and take on France on December 18. .The knockout table below shows who Kashef had reaching the knockout stages at the start of the tournament. .The knockout table below shows the actual results of the World Cup. .Like all AI engines, Kashef would generate a probability that a particular team would win, draw or lose a match. .To calculate these probabilities we ran the data through Google Cloud’s Vertex AI, which produces state-of-the-art models – adopting Google Brain – that use Efficient Neural Architecture Search (ENAS) to find the best prediction model. The data pipeline is built with GCP-BigQuery. .Based on our simulations for the 2014 and 2018 World Cup tournaments, Kashef was about 71 percent accurate, with an area under the curve (AUC) of some 67 percent. .To put that in perspective, the random chance for a knockout match is 50 percent – half of the time a team will win and half the time they will lose. During the group stage, correctly predicting an outcome at random is split between three choices – a win, draw and a loss – with a 33 percent chance each. .Predicting match results is not easy. External factors, like team morale or player fitness, make a big difference in how the game goes. .In the quarterfinals, Kashef failed in 50 percent of the games, expecting Brazil to go to the final, while it was also convinced that Portugal would beat Morocco. .In the semifinals, Kashef was 100 percent accurate, while it ultimately failed to predict that Argentina would win the title. .Behind the captivating lure of the footballing spectacle, there was an existential battle taking place at the Al Jazeera offices. .The question: Who can predict a football game better? Kashef, our beloved AI robot, or humans? Throughout the tournament, Al Jazeera conducted a daily poll on our Sports’ Twitter account. .Kashef’s prediction: France win – incorrect .Al Jazeera’s poll: Argentina win – correct .Final result: Argentina 4-2 (penalties) France . .Kashef’s prediction: Croatia win – correct .Al Jazeera’s poll: Morocco win – incorrect .Final result: Croatia 2-1 Morocco . .Kashef’s prediction: France win – correct .Al Jazeera’s poll: Morocco win – incorrect .Final result: France 2-0 Morocco . .Kashef’s prediction: Argentina win – correct .Al Jazeera’s poll: Argentina win – correct .Final result: Argentina 3-0 Croatia . .See Kashef’s predictions during the quarterfinal matches. .According to FIFA, the total prize money for the 32 participating nations at the 2022 World Cup was $440m. .The breakdown is as follows: .In addition, each team would have received $1.5m before the competition to cover preparation costs.",3
4,Published On 18 Dec 2022,Tears of relief and joy as Messi lifts World Cup for Argentina,Waves of euphoria sweep through Lusail Stadium as La Albiceleste beat France in a dramatic final to become champions for a third time.,".Lusail, Qatar – They leaped into the air. Their fists pumped in delight. Finally it was all over, and they had won. .Gonzalo Montiel had just scored the decisive penalty for Argentina to defeat France in the dramatic final of the World Cup in Qatar and become champions once again after their last triumph in Mexico 36 years ago. .In the stands of packed Lusail Stadium on Sunday, those in blue and white screamed and hugged in an explosion of relief and jubilation. What had preceded were 120 minutes of nail biting normal time and extra-time action, which saw France twice come from behind to send the 3-3 deadlock into a penalty shootout. .“I can’t describe the feelings I have right now,” Argentina fan Pablo Ramirez told Al Jazeera with tears in his eyes shortly after captain Lionel Messi lifted the trophy. .“It’s the best day of my life,” said the 34-year-old, who made the journey to Qatar from Argentina’s capital, Buenos Aires. .“Finally, we are champions again,” the businessman said. “It’s been too long. … I thought France would win after that comeback. I was shaking so much.” .He wasn’t the only one. .Argentina coach Lionel Scaloni was also visibly emotional as he dedicated the victory to his parents. .“I cannot believe that we have suffered so much in a perfect game,” he told reporters after the final. “Unbelievable, but this team responds to everything.” .“I am proud of the work they did. With the blows we received today, this makes you emotional. I want to tell people to enjoy. It’s a historic moment for our country.” .The match – arguably the most thrilling World Cup final ever – had almost everything. .Argentina took the lead in the 23rd minute when Messi scored from the penalty spot to become the first player to find the net in all four knockout rounds at the same World Cup. .They widened their lead in the 36th minute when winger Angel Di Maria finished a superb team move that started on Argentina’s half. . .La Albiceleste remained in control until about 10 minutes before the end of normal time when French superstar Kylian Mbappe pulled one back from the penalty spot. .And less than two minutes later, Mbappe stunned the Argentina fans with a second goal, which sent the game into extra time. .Messi responded with his second goal of the night in the 108th minute to put Argentina up 3-2, but a handball in the box by Montiel gave Mbappe the chance to convert his second penalty and France to level again. .In the shootout, Argentina keeper Emiliano Martinez saved Kingsley Coman’s spot kick while Aurelien Tchouameni also missed the target for France before Montiel scored Argentina’s fourth penalty to end it all. .Argentina fan Carlos Ruiz said he had never felt so nervous in his life. .“My heart was in my throat,” he said in describing his emotions after France’s equaliser during normal time. .“I could barely sit still,” said Ruiz, who grew up near Buenos Aires but now resides in Tampa, Florida. “It was a nerve-wrecking but an incredible match, and for Messi to win it finally in his last World Cup, … he is definitely now as big as Diego [Maradona].” .The seven-time Ballon d’Or winner had won all there is to win as part of a football team – except the most coveted prize of all. .“It’s insane that it happened this way,” Messi, 35, told reporters after the match. “I really wanted this. I knew God was going to give it to me. Now I will enjoy it.” .“Look at this trophy,” the Paris Saint-Germain forward said. “It’s beautiful. We suffered a lot, but we did it. I can’t wait to be in Argentina to see how crazy this is going to be.” .Argentina fan Augusto Fasio felt the same. .“I can’t wait to fly back home,” the Mar de Plata resident told Al Jazeera in Qatar. “I want to be with my people when the team comes home. We will be partying for a week.”",4
5,Published On 19 Dec 2022,Argentina’s fans celebrate in the streets after World Cup victory,"‘This team made people fall in love with them for the first time in decades,’ an Argentinian fan said.",".Celebrations have gripped Argentina where tens of thousands of fans flooded the streets of Buenos Aires after the Argentinian team’s World Cup win – their first since 1986. .Drone footage on Sunday showed thousands of Argentinians gathered at the city’s iconic obelisk and outside the home of the late footballing legend Diego Maradona. .Millions of Argentines had cried, shouted and hugged as they followed the final match against France earlier – a roller coaster of emotions. .“I feel an immense happiness in my heart because this is the first World Cup I truly enjoy,” Hector Quinteros, a 34-year-old security guard, said, his eyes welling up with tears. .“This always happens. They always make us suffer.” .France had reduced many Argentinian fans to a bundle of nerves at multiple points throughout the game. .At the end of the first half, many were gearing up to celebrate as Argentina led France 2-0 and clearly dominated the match. .But that early happiness turned to anxiety as France caught up, with Kylian Mbappe scoring three times to erase the comfortable lead that Lionel Messi and Angel Di Maria had given La Albiceleste. The final score after extra time ultimately saw both teams tied at 3-3. .In the end, Argentina managed to pull out a 4-2 victory on penalties, a nail-biting affair that will surely be cemented in history as one of the most thrilling finals on record. .“I can’t believe it! It was difficult, but we did it, thanks to Messi,” Santiago, 13, who celebrated the win with his family in Buenos Aires, told Reuters. .The World Cup victory comes to a nation battered by an economic crisis and skyrocketing inflation, pushing many to the brink financially and much of the population into poverty. .“It was an incredible game, at times anguishing,” said 46-year-old Diego Aburgeily, who celebrated the win in the Buenos Aires suburbs. .“This team made people fall in love with them for the first time in decades.” .The last time Argentina made a World Cup finals appearance was in a losing effort to Germany in 2014. .When Argentina’s Gonzalo Montiel buried their fourth – and winning – penalty in the back of the French net, fans screamed, threw their hands in the air and hugged. .“It is an immense joy after so much tension,” lawyer Nicolas Piry, 46, said. .For some, Messi’s World Cup victory will put to rest one of the most hotly contested debates in football – who’s better: Messi or Portugal’s Cristiano Ronaldo? .Ronaldo, for all his accolades, has never won a World Cup – and he exited the tournament in Qatar after his team suffered a devastating semifinal loss to Morocco. .Messi may not play in the 2026 World Cup, but the 35-year-old said he also won’t immediately retire from the Argentinian national team.",5
6,Published On 19 Dec 2022,Photos: World Cup victory parade takes to the street in Qatar,,".The infectious energy of Argentina’s supporters at the World Cup final has spilled out from the stadium into a large and boisterous parade down Lusail Boulevard, with the newly crowned champions as the star attraction. .Joyous crowds have lined the boulevard in Qatar following Sunday’s incredible World Cup final between Argentina and France. .The smiling and victorious Argentinian team were spilling out of the open-top bus that led them down the parade route as they basked in the glory of champions and had a moment to enjoy their win. . .Argentina’s victory over France ended a four-tournament run of European teams taking the championship. .Costumed performers, Qatari police on horseback and camel, and a group of volunteers who took part in the tournament also participated in the parade. .Completing the celebrations, fireworks lit Qatar’s cloudless midnight sky to the delight of the tens of thousands of people to celebrate the final match of the 2022 World Cup tournament.",6
7,Published On 19 Dec 2022,‘We fought until the end’: French World Cup fans sing Les Bleus,"“Les Bleus made us dream,” President Emmanuel Macron said after France’s dramatic World Cup final loss to Argentina.",".As Argentinian celebrations swelled from Lusail Stadium in Qatar to the streets of Buenos Aires following Argentina’s dazzling World Cup win, a sombre mood, in contrast, has swept across France. .Ahead of Sunday evening’s final match, expectant French football fans had crowded bars, gymnasiums, city streets and living rooms across the country in support of Les Bleus. .But after the game that went to extra time and a penalty shootout, French supporters were left downtrodden and dejected as they absorbed the weight of the moment and what could have been. .In Paris, forlorn fans trudged along Champs-Elysees avenue in the chilly night air, where the mood was reflected in the grey winter skies that blanketed the capital city. .“We’re disappointed, especially with a finish on penalties,” Louane, 14, who had travelled to Paris from the central Jura region to watch the game with his parents. .“But there were plenty of twists in the game and we thought it was in reach,” he told the AFP news agency. .The French side had miraculously clawed their way back into the game after allowing Argentina a 2-0 lead early on. That was thanks to three breathtaking goals from France’s Kylian Mbappe, who almost singlehandedly staged his side’s unthinkable comeback. .The drama of the match had left French fans sitting on the edge of their seats. .“To come back from a two-goal deficit is incredible,” said Romain Balthazar, a 22-year-old engineering student who visited Paris with friends to watch the final. “We came to experience this on the Champs — it’s fabulous.” .Just once has a team ever come back from two goals down in the World Cup final, and that was West Germany’s 3-2 win over Hungary in 1954, which remains the only time a team has overcome such a deficit in the tournament final. .France fans will take solace though in the awe-inspiring performance by Mbappe, who slid past Lionel Messi to earn the well-deserved Golden Boot trophy on Sunday as the World Cup’s top player. He netted eight goals over the course of the 2022 tournament. .French President Emmanuel Macron, who had travelled to Doha for the second time in a week to support Les Bleus, said he, too, was “very sad and disappointed”. .Macron had consoled and addressed the distraught team in the locker room after the game. . .“Les Bleus made us dream,” Macron tweeted after the match. .Disturbances were reported in Paris as dejected fans clashed with some of the approximately 14,000 riot police deployed across the country for the final. Minor skirmishes were also reported last week when police fired tear gas in the aftermath of France’s semifinal win over Morocco. . .Meanwhile, Argentina supporters in Paris gathered at the country’s embassy, located a short walk from the city’s iconic Arc de Triomphe monument. .“It’s an incredible feeling, with this finale for Messi, because we haven’t won since Maradona,” said 30-year-old Argentinian expat Alejandro Gomez. .In the southern city of Marseille, fans in the historic port district were also left reeling after the match. .“They played incredibly well, and didn’t disappoint, but penalty shots are always like Russian roulette,” said Laurent Bergerot, a 44-year-old engineer. .“It came down to chance but we fought until the end.” .In Bordeaux, Anthony Brebis, wearing a French flag on his shoulders matched by red, white and blue paint on his face, made a harsh assessment of the national side: “We have a young team that didn’t have enough experience to hold out for more than 90 minutes.” .French fans in search of redemption will now have to wait for UEFA Euro 2024 in Germany, the next big tournament in which Les Bleus will compete.",7
8,Published On 18 Dec 2022,Timeline: How Argentina came to lift the World Cup in Qatar,Argentina’s third World Cup win caps Lionel Messi’s unbelievable career.,".Argentina won the World Cup after beating defending champions France 4-2 on penalties, following a thrilling 3-3 draw after extra time. .Lifting the World Cup trophy on Sunday afternoon was the climax of seven matches in a month. Here’s the story of Argentina’s 2022 World Cup in Qatar. .Saudi Arabia shocked Argentina with two second-half goals in their opening Group C World Cup match, marking the first upset of the tournament. .It all seemed to be going to plan for the Argentines after Messi slotted in a penalty after 10 minutes. Two more first-half Argentina goals were ruled offside, but a reinvigorated Saudi team took the field in the second. Saleh Alshehri opened their scoring in the 48th minute, guiding a shot through Argentinian goalkeeper Damian Martinez’s legs. .A few minutes later, winger Salem Aldawsari cut inside and curled a beauty into the top corner. .Superb goals by Lionel Messi and Enzo Fernandez earned Argentina a 2-0 win over Mexico in a pulsating atmosphere at the Lusail Stadium, breathing new life into Messi’s World Cup campaign. .Messi broke the deadlock in the 64th minute, arrowing a low shot through a crowd of defenders into the corner, equalling Diego Maradona’s Argentina record of 21 matches and eight goals at the World Cup. .Fernandez sealed the victory in the 87th minute with a wonderful arcing strike, becoming the youngest player to score at a World Cup for Argentina since Messi himself in 2006. .Argentina coasted past Poland in a 2-0 victory to top Group C and confirm their place in the last 16 of the World Cup, signalling a return to form for the South American giants. .Alexis Mac Allister and Julian Alvarez’s second-half goals capped a dominant display by coach Lionel Scaloni’s charges at Stadium 974 – which was packed to the rafters with tens of thousands of raucous Argentinian supporters. .Messi, playing in his 1,000th game, opened the scoring in the 35th minute, one of few highlights of a lethargic Round of 16 first half at Ahmed bin Ali Stadium. .A second goal for Argentina followed just before the hour mark, courtesy of Julian Alvarez, after a notable lapse by Australia’s defence. .The Socceroos, who played a compact game, scored a 77th-minute consolation goal when Craig Goodwin’s shot deflected into the net off Argentina midfielder Enzo Fernandez. .Argentina beat the Netherlands 4-3 on penalties in a dramatic, testy quarterfinal at Lusail’s Iconic Stadium to set up a semifinal against Croatia, after their World Cup quarterfinal finished 2-2 after extra time. .A total of 17 yellow cards were handed out in the match on Friday, which looked to be going Argentina’s way until the Netherlands equalised in the 10th minute of stoppage time. .After half an hour of dominating the semifinal, Croatia lost control. Julian Alvarez won a penalty from a counterattack, which Messi smashed in. His eleventh goal at a World Cup took him past the great Gabriel Batistuta’s Argentinian record for most World Cup goals. .Just five minutes later, doubled Argentina’s lead with a stunning run and luck of the bounce in the penalty area. .In the 73rd minute, Messi picked up the ball on the left under challenge from Josko Gvardiol and pulled off another trademark run: dancing towards the box and passing it off for Alvarez to finish. Another special moment from probably the best player to ever play this game. .France had come from two goals down to level over 90 minutes with Mbappe netting twice in two minutes, including an 80th-minute penalty. .The France striker completed his hat trick in the 118th with another spot kick after Argentina’s Lionel Messi had tapped in for a 3-2 lead in the 109th minute. .Argentina keeper Emiliano Martinez saved Kingsley Coman’s penalty and Aurelien Tchouameni fired wide. .Gonzalo Montiel scored the clinching penalty kick to give Argentina their first world title since 1986, and third overall.",8
9,Published On 18 Dec 2022,France fans hail Mbappe’s dazzling World Cup final performance,Mbappe secured the golden boot with his hat-trick in the final and came close to winning a second World Cup.,".Lusail, Qatar – For most of the first half, Kylian Mbappe hardly saw the ball. The beginning of the second half was not any better. .The match had been billed as Messi versus Mbappe, but it was the little Argentinian who was having all the joy in Lusail. Messi — with the help of Angel Di Maria — had tormented the French backline. .With 10 minutes to go, Argentina were 2-0 up and cruising, passing the ball around comfortably. .In the stands, Les Bleus were outnumbered and out-cheered in the 89,000-capacity arena, swamped by a sea of sky blue and white jerseys. Most sat in silence, staring blankly at the green turf below, the Tricolours no longer waving. .Les Bleus needed an inspiration, almost a miracle. .Step forward Kylian Mbappe, the lightning-quick striker who led them to the 2018 trophy. Whenever the going gets tough, Les Bleus turn to their star forward. .  .Mbappe gave his team a lifeline, putting away a penalty with nine minutes to go. .But the 23-year-old was not finished. He followed it up with a sumptuous volley, bringing the score level and taking the match into extra time. It was his seventh goal of the tournament. .Suddenly, it was the French who were now smelling blood. The South Americans were holding on for dear life, as Mbappe was now on the charge. .The Paris St-Germain forward was at his best, even in extra time with everyone around him showing signs of tiredness. .But Messi, 35, had the reply. He put his team ahead in extra time. Mbappe replied from the penalty spot two minutes later. He had his hat-trick. .Mbappe becomes the second player to score a treble in a World Cup final. The last time it was done was in 1966 by England’s Geoff Hurst. .“We are witnessing a big legend in the making,” French fan Thierry Tiquant told Al Jazeera. .“We did not deserve to lose. Mbappe did not deserve to lose. That performance will be remembered forever.” .Mbappe secured the golden boot with his hat-trick; he scored a total of eight goals in Qatar. .“He really tried. He was the best player on the pitch today. I know many people will talk about Messi. But he played better than Messi tonight,” Maurice Toussaint said. .In Lusail, he became the youngest player to reach 10 World Cup goals. He broke the record at the tender age of 23 years and 363 days. .He surpassed the German Gerd Muller’s record of 24 years, 226 days. .Mbappe now has 11 World Cup goals and when the next edition of the tournament comes around, he will still only be 27 — a frightening prospect for his opponents. .“Mbappe is the future,” Malcolm Joseph said. “There is no player his age who is even close to how good he is. He is unbelievable.”",9
