"names","values"
"community",44.2983710380595
"group",24.9892304230489
"woman",24.0706415963377
"supporter",21.2532675355669
"people",19.83203197084
"support",18.9442319945429
"rainbow",17.9328456162275
"wall",17.9114678294918
"amnesty",12.1208186082858
"continue",12.1208186082858
"official",10.6468053847493
"show",9.96142845858594
"hat",8.06308554758471
"international",8.00539410826786
"brown",7.76757752966114
"armband",7.17167345560119
"wale",6.94104343805702
"captain",6.85412440465552
"qatari",6.39386654362534
"face",6.17306964554336
"question",5.74812090935848
"member",5.74812090935848
"fifa",5.47489436606884
"discrimination",5.362333535586
"travel",4.5640803795668
"fan",4.31048860449664
"criticise",3.85735811752784
"wear",3.61931348791586
"organisation",3.54454434547552
"leave",3.54454434547552
"proud",3.54454434547552
"club",3.54454434547552
"migrant",3.39723476198196
"welsh",3.34626555209616
"open",3.2011404351997
"watch",2.90255826060638
"human",2.87911547224758
"football",2.85675818188247
"team",2.64105060938709
"stance",2.629248193085
"ahead",2.629248193085
"visitor",2.629248193085
"remove",2.38821904758697
"staff",1.97470680136939
"part",1.97470680136939
"concern",1.9208552862201
"mr",1.82356207692101
"illegal",1.79994280983919
"november",1.79624008845713
"follow",1.79624008845713
"worker",1.68557249737751
"include",1.68557249737751
"treatment",1.63356353912422
"country's",1.63356353912422
"gay",1.53883647103066
"event",1.48487318150728
"world",1.41638584886095
"law",1.37784300541171
"homosexuality",0.964286631982759
"england",0.894219099838665
"cup",0.844511390461776
"match",0.733271282208079
"tournament",0.6731872357268
"friend",0.66596607196152
"gulf",0.66596607196152
"faw",0.66596607196152
"national",0.66596607196152
"east",0.54709062666916
"week",0.54709062666916
"safe",0.522308813833661
"university",0.44655420953859
"middle",0.44655420953859
"start",0.44655420953859
"man",0.44655420953859
"player",0.44655420953859
"kane",0.44655420953859
"speak",0.408312485420538
"ambassador",0.361301078197357
"uk",0.291513817086525
"host",0.291513817086525
"death",0.288983890555755
"mcallister",0.288983890555755
"feel",0.270631600282286
"stadium",0.259146165995844
"choose",0.227760279160066
"plan",0.227760279160066
"authority",0.227760279160066
"love",0.227760279160066
"ms",0.227760279160066
"same-sex",0.176157605308617
"live",0.176157605308617
"time",0.144712031922609
"accept",0.13298017764464
"relationship",0.13298017764464
"work",0.0972438722692459
"attend",0.0770955302668881
"comment",0.0681289801541425
"qatar",0.0579606379069446
"important",0.0449455033067352
"game",0.040890260866945
"boycott",0.0283972965698922
"state",0.0271071520055557
"bbc",0.0189788180541655
"call",0.0141115493133839
"make",0.00839116751194524
"decision",0.00552494515613944
"life",0.00552494515613944
"government",0.00198368473320443
"record",0.000970260542089818
"issue",0.000240641704294831
"foreign",0.000117627450890723
"country",2.87481416307855e-05
"mark",NA
"drakeford",NA
"minister",NA
"hotel",NA
"stay",NA
"security",NA
"raise",NA
"lgbt",NA
"opportunity",NA
"secretary",NA
"place",NA
"visit",NA
"local",NA
"thing",NA
"give",NA
"promote",NA
"leader",NA
"choice",NA
"year",NA
"put",NA
"doha",NA
"equality",NA
"good",NA
"hold",NA
"focus",NA
"build",NA
"expect",NA
"ensure",NA
"add",NA
"controversial",NA
"change",NA
"message",NA
"safety",NA
"arrest",NA
"prison",NA
"happen",NA
"police",NA
"month",NA
"report",NA
"day",NA
"send",NA
"qatar's",NA
"executive",NA
"long",NA
"respect",NA
"back",NA
"sport",NA
"award",NA
"compromise",NA
"abuse",NA
"risk",NA
"advice",NA
"british",NA
"gas",NA
"nation",NA
"big",NA
"play",NA
"james",NA
"cleverly",NA
"light",NA
"alcohol",NA
"culture",NA
"footballer",NA
"organiser",NA
"protest",NA
"shine",NA
"final",NA
"labour",NA
"announce",NA
