"names","values"
"migrant",1988.69321053926
"qatar",288.483600525535
"employer",275.242835286888
"die",249.771550879959
"construction",212.761024894833
"kafala",205.774453416117
"condition",196.341238031018
"treatment",191.133933301404
"abuse",161.780877480545
"system",159.057617989398
"leave",146.422055591975
"guardian",146.232636922796
"report",131.19849352169
"labour",128.494776340347
"welfare",118.931780197308
"job",112.421342987393
"amnesty",110.959310682985
"protect",108.249297344621
"death",108.009431293671
"thousand",105.783922394941
"nepalese",104.836745758163
"law",102.609258787968
"cup",101.762840721116
"international",100.948368182697
"build",98.5178587324044
"permission",93.8662916179455
"union",93.1626954329549
"discriminatory",86.7209662950772
"human",81.4994432133972
"wage",80.15771806665
"change",79.410895110952
"country",75.9275906104303
"million",75.705799876072
"hundred",75.0644407606451
"reform",72.8080672046053
"sponsorship",72.161413522088
"live",71.9210348378692
"world",71.6650450786983
"year",69.2343190727988
"pay",68.6099523800658
"india",67.9647245116066
"face",67.7855056257104
"nepal",67.2220325250819
"ty",64.8357941477734
"warn",60.8065240649157
"low-wage",60.5473457230255
"corruption",59.242154289328
"trade",56.6332229930267
"improve",56.454771222343
"project",54.2105211783783
"include",52.5330208574305
"exploit",52.1323520538863
"reveal",51.3247620417387
"protection",51.2229881520034
"exploitation",51.0572120954748
"government",50.0223364444682
"surround",49.511528961244
"accommodation",48.739242948679
"infrastructure",47.9211640728463
"confederation",46.7196917664842
"lanka",46.4174571534095
"employ",45.3289145488816
"bangladesh",45.1850656827446
"investigation",44.8621140746109
"ituc",42.7888281036576
"require",41.426520613255
"sri",41.3186128403468
"prevent",40.8222057494859
"plight",40.7124909680279
"treat",40.4142883394379
"gulf",40.2689889157482
"domestic",40.2454814887897
"squalid",39.2954705576994
"work",38.8701279809466
"fifa",38.5856296792626
"pitch",36.7565601885726
"organisation",35.4939769149059
"numb",34.4809944957378
"mistreatment",34.141074376792
"force",34.1019210485101
"tie",33.8572424088197
"safety",33.437821828702
"site",33.3653474634921
"abolish",33.3487430452951
"health",33.2000307269627
"estimate",33.0139333434054
"stadium",32.9952791136748
"toll",32.6436838644731
"suffer",32.3933345268015
"camp",32.3607779782324
"issue",32.2614074301382
"authority",32.1732195687946
"month",31.5733766096237
"improvement",30.7158901163202
"recruitment",30.5550117167877
"ensure",29.5728296836023
"heat",28.9413843068469
"overcrowd",28.7748624093074
"raise",28.584125365509
"centre",28.4663856224215
"claim",27.1844122516341
"appall",27.0688987103058
"investigate",26.8325547133572
"boom",26.803154192894
"indian",26.6272459023457
"journalism",26.1608248430421
"find",26.133946003305
"unable",25.9621418471506
"benefit",25.8238943302713
"payment",25.7363164293347
"compensate",25.4324778577138
"passport",24.9904486736341
"nepali",24.7671746110136
"exit",23.9141748117981
"commission",23.8908619619906
"ball",22.8982098320557
"asia",22.554662340408
"august",22.5419218462775
"charter",22.5206219299289
"group",21.9891177980753
"accord",21.4962155531102
"failure",21.4766724848596
"accuse",21.1268638809852
"committee",21.1157085372834
"company",21.1148110756767
"unpaid",21.0757568156696
"fee",20.9781526126317
"concern",20.9300718195154
"pledge",20.9233463820128
"standard",20.8805097739678
"equidem",20.5707542351156
"poor",20.3295901124657
"guarantee",20.1458860697167
"dignity",20.0804049918952
"sport",19.887040264497
"reimburse",19.6682189606945
"fail",19.6040669390932
"effectively",19.4654456868884
"saudi",18.8868838208728
"heavily",18.6358012004348
"risk",18.507174700615
"trap",18.3069379639055
"fan",18.1944601639698
"endure",18.1279089034069
"employment",17.8658931090904
"regulation",17.8240334628499
"hrw",17.7911508905527
"summer",17.7528170874284
"commit",17.7220290318946
"deny",17.710731954372
"call",17.7002077728393
"single",17.3921053164231
"hour",17.378433562204
"salary",17.33261864612
"interview",17.0540281882277
"cup-related",17.0417731860653
"theft",16.8413559965265
"sewage",16.8413559965265
"player",16.8197078729572
"introduce",16.8145100363763
"organise",16.5647454052232
"widespread",16.5321979056171
"sear",16.2799086110026
"rate",16.2440116205835
"provide",16.0090934039326
"toil",16.0041560750687
"address",15.9992588612949
"game",15.8584931691876
"total",15.7844037363539
"researcher",15.5942598887486
"expose",15.5531835520815
"make",15.1620495117968
"remedy",15.11794994105
"intense",14.9281140834501
"highlight",14.8802327060839
"check",14.8489461435238
"qatar's",14.7754028358904
"exploitative",14.7357296806586
"population",14.7095172592963
"pakistan",14.6990770197299
"coach",14.6619224952301
"majority",14.6331028095447
"burrow",14.6331028095447
"club",14.536615961988
"criticise",14.4729341462662
"complaint",14.4729341462662
"insanitary",14.397186157119
"demand",14.1143034315901
"allege",13.8571147028997
"minimum",13.3013542931876
"arabia",13.1242150825565
"friend",13.0644588858704
"happen",13.0531616491789
"visa",12.9847633326426
"injure",12.8692237085779
"south",12.8006245887082
"embassy",12.5197880984633
"foreign",12.4822430823988
"mandatory",12.4505936650676
"punish",12.4505936650676
"unscrupulous",12.4505936650676
"debt",12.4469098966219
"contract",12.4247777727142
"police",12.271931196301
"number",12.1806968413002
"confiscate",12.0465586183709
"monitor",11.9557399309997
"gather",11.9544913212303
"dozen",11.9446385843039
"increase",11.9312047723215
"cardiac",11.8847238699382
"dedicate",11.877380659862
"kill",11.8437098982395
"hope",11.8373038418358
"45p",11.8220265560376
"alarm",11.6633689039445
"allowance",11.6633689039445
"sery",11.640370133915
"recent",11.4862558782916
"team",11.4855306428799
"basic",11.4532030613336
"directly",11.4532030613336
"access",11.4344696946209
"qatari",11.3629284471972
"today",11.2808618964918
"immigrant",11.250105953397
"sponsor",11.2455597266962
"political",11.2265885887609
"sector",11.200176335522
"don",10.9765558548388
"guest",10.9701457690098
"subcontractor",10.9701457690098
"train",10.939247777831
"middleman",10.8425348095188
"document",10.8368680104904
"step",10.7824841068068
"urge",10.7654127138085
"state",10.7318269526586
"league",10.701244074764
"permit",10.5637724034023
"pressure",10.549820662447
"kick",10.4812017485092
"abusive",10.3623996831011
"rely",10.3623996831011
"significant",10.3572678532801
"supreme",10.2994676459639
"slavery",10.2795009469555
"watch",10.2544952539611
"february",10.2447892674245
"show",10.2220204749028
"offer",10.1473016906239
"bangladeshi",10.1324158902571
"abolition",10.1324158902571
"justice",10.1280987465288
"accident",10.0644394699193
"structural",10.0577099992079
"routinely",10.0577099992079
"delay",10.0564580895589
"recruit",10.0564580895589
"house",10.0301527435658
"rise",10.0033673447615
"situation",9.79042822646443
"publish",9.79042822646443
"secure",9.48502549025579
"handle",9.48323866413557
"buy",9.37797365098959
"ngo",9.22262139973463
"vulnerable",9.14376729875221
"ilo",8.82157132652355
"extreme",8.81849342395435
"aspire",8.72214139264543
"criticism",8.68327288766159
